name,category,cost,price,supplier
Milo 50g,Beverages,3.20,5.00,Nestle Malaysia
Maggi Curry 5s,Instant Food,2.10,3.50,Nestle Malaysia
Nescafe Classic 200g,Beverages,9.50,14.00,Nestle Malaysia
Gardenia Bread,Bakery,2.80,3.50,Gardenia KL
100 Plus 500ml,Beverages,1.80,3.00,F&N Beverages
Sugar 1kg,Groceries,1.80,2.50,MSM Malaysia
Cooking Oil 5kg,Groceries,10.50,15.00,Adani Oils
Phone Top-up,Services,0.50,10.00,Celcom/Digi
Power Root 500ml,Beverages,1.60,2.80,Power Root
Mamee Snack 18g,Snacks,0.60,1.20,Mamee-Double Decker
Twisties 85g,Snacks,1.80,2.80,Mamee-Double Decker
Farm Fresh Milk 1L,Dairy,4.50,6.90,Farm Fresh
Eggs 30s,Fresh,7.00,10.50,Local Farm
Rice 10kg,Groceries,22.00,32.00,Jasmine Foods
Dynamo 900ml,Household,4.50,7.50,Unilever
