date,item,quantity,revenue
2026-04-18,Milo 50g,45,225.00
2026-04-18,Maggi Curry 5s,38,133.00
2026-04-18,Nescafe Classic 200g,12,168.00
2026-04-18,Gardenia Bread,30,105.00
2026-04-18,Phone Top-up,22,220.00
2026-04-18,100 Plus 500ml,28,84.00
2026-04-18,Sugar 1kg,15,37.50
2026-04-18,Cooking Oil 5kg,8,120.00
2026-04-19,Milo 50g,52,260.00
2026-04-19,Maggi Curry 5s,42,147.00
2026-04-19,Nescafe Classic 200g,15,210.00
2026-04-19,Gardenia Bread,35,122.50
2026-04-19,Phone Top-up,18,180.00
2026-04-19,100 Plus 500ml,32,96.00
2026-04-19,Sugar 1kg,18,45.00
2026-04-19,Cooking Oil 5kg,10,150.00
2026-04-20,Milo 50g,30,150.00
2026-04-20,Maggi Curry 5s,25,87.50
2026-04-20,Nescafe Classic 200g,8,112.00
2026-04-20,Gardenia Bread,22,77.00
2026-04-20,Phone Top-up,15,150.00
2026-04-20,100 Plus 500ml,20,60.00
2026-04-20,Sugar 1kg,10,25.00
2026-04-20,Cooking Oil 5kg,5,75.00
2026-04-21,Milo 50g,58,290.00
2026-04-21,Maggi Curry 5s,48,168.00
2026-04-21,Nescafe Classic 200g,18,252.00
2026-04-21,Gardenia Bread,40,140.00
2026-04-21,Phone Top-up,25,250.00
2026-04-21,100 Plus 500ml,35,105.00
2026-04-21,Sugar 1kg,20,50.00
2026-04-21,Cooking Oil 5kg,12,180.00
2026-04-22,Milo 50g,28,140.00
2026-04-22,Maggi Curry 5s,22,77.00
2026-04-22,Nescafe Classic 200g,7,98.00
2026-04-22,Gardenia Bread,18,63.00
2026-04-22,Phone Top-up,12,120.00
2026-04-22,100 Plus 500ml,18,54.00
2026-04-22,Sugar 1kg,8,20.00
2026-04-22,Cooking Oil 5kg,4,60.00
2026-04-23,Milo 50g,55,275.00
2026-04-23,Maggi Curry 5s,44,154.00
2026-04-23,Nescafe Classic 200g,16,224.00
2026-04-23,Gardenia Bread,38,133.00
2026-04-23,Phone Top-up,20,200.00
2026-04-23,100 Plus 500ml,30,90.00
2026-04-23,Sugar 1kg,16,40.00
2026-04-23,Cooking Oil 5kg,9,135.00
